_source_file,action,calendar_size,calendar_size_after,calendar_size_sent,duplicates_ignored,event,final_sync,lamport,lamport_after,lamport_before,left_neighbor,message_id,message_lamport,message_vector,new_events_added,node_id,port,received_event_count,received_lamport,received_vector,receiver_node,right_neighbor,scheduled_delay_seconds,sender_node,state_hash,state_hash_after,state_hash_sent,vector,vector_after,vector_before,wall_time_utc
node-5.jsonl,RECEIVE_STATE,,11,,6,,False,,20,15,,N04-M0004,,,5,5,,11,19,"[0, 3, 4, 8, 10, 8, 7, 3, 0, 0]",,,,4,,db9f42d8326283c7dbc1385cdb8b63758f4d5716ef525547404599d0771365ac,,,"[0, 3, 4, 8, 10, 10, 7, 3, 0, 0]","[0, 0, 0, 0, 3, 9, 7, 3, 0, 0]",2026-09-13T14:09:15.450Z
node-8.jsonl,LOCAL_SCHEDULE,,12,,,"{""creator_node"": 8, ""end_time"": ""16:20"", ""event_id"": ""N08-E02"", ""event_number"": 2, ""lamport_timestamp"": 18, ""simulation_date"": ""2030-10-01"", ""start_time"": ""16:00"", ""title"": ""Node 8 Event 2"", ""vector_timestamp"": [4, 2, 0, 0, 3, 5, 8, 9, 8, 7]}",,,18,,,,,,,8,,,,,,,48,,,22c2bb68987ecc195ba612a706ec9f858adbb794462b2e54c2916647b3b0e41a,,,"[4, 2, 0, 0, 3, 5, 8, 9, 8, 7]",,2026-09-13T14:09:15.810Z
node-8.jsonl,SEND_STATE,,,12,,,,,,,,N08-M0003,19,"[4, 2, 0, 0, 3, 5, 8, 9, 9, 7]",,8,,,,,7,,,,,,22c2bb68987ecc195ba612a706ec9f858adbb794462b2e54c2916647b3b0e41a,,,,2026-09-13T14:09:15.813Z
node-7.jsonl,RECEIVE_STATE,,12,,8,,False,,20,16,,N08-M0003,,,4,7,,12,19,"[4, 2, 0, 0, 3, 5, 8, 9, 9, 7]",,,,8,,22c2bb68987ecc195ba612a706ec9f858adbb794462b2e54c2916647b3b0e41a,,,"[4, 2, 0, 0, 3, 5, 8, 10, 9, 7]","[0, 0, 0, 0, 3, 5, 8, 9, 4, 2]",2026-09-13T14:09:15.816Z
node-8.jsonl,SEND_STATE,,,12,,,,,,,,N08-M0004,20,"[4, 2, 0, 0, 3, 5, 8, 9, 10, 7]",,8,,,,,9,,,,,,22c2bb68987ecc195ba612a706ec9f858adbb794462b2e54c2916647b3b0e41a,,,,2026-09-13T14:09:15.818Z
node-9.jsonl,RECEIVE_STATE,,15,,7,,False,,21,19,,N08-M0004,,,5,9,,12,20,"[4, 2, 0, 0, 3, 5, 8, 9, 10, 7]",,,,8,,d6145adfd92bb8a0094edc7b2c3a8419a4f9cf50da5a8d4a73eccd86535d27d6,,,"[9, 7, 3, 0, 3, 5, 8, 9, 10, 10]","[9, 7, 3, 0, 0, 0, 3, 4, 5, 9]",2026-09-13T14:09:15.823Z
node-1.jsonl,LOCAL_SCHEDULE,,11,,,"{""creator_node"": 1, ""end_time"": ""18:40"", ""event_id"": ""N01-E03"", ""event_number"": 3, ""lamport_timestamp"": 21, ""simulation_date"": ""2030-10-01"", ""start_time"": ""18:20"", ""title"": ""Node 1 Event 3"", ""vector_timestamp"": [10, 10, 3, 0, 0, 0, 3, 4, 5, 8]}",,,21,,,,,,,1,,,,,,,62,,,df7788439026e9795666d726cf996c5e93f80720f288db19ff12335e13f91034,,,"[10, 10, 3, 0, 0, 0, 3, 4, 5, 8]",,2026-09-13T14:09:26.611Z
node-1.jsonl,SEND_STATE,,,11,,,,,,,,N01-M0005,22,"[10, 11, 3, 0, 0, 0, 3, 4, 5, 8]",,1,,,,,0,,,,,,df7788439026e9795666d726cf996c5e93f80720f288db19ff12335e13f91034,,,,2026-09-13T14:09:26.613Z
node-0.jsonl,RECEIVE_STATE,,11,,10,,False,,23,19,,N01-M0005,,,1,0,,11,22,"[10, 11, 3, 0, 0, 0, 3, 4, 5, 8]",,,,1,,df7788439026e9795666d726cf996c5e93f80720f288db19ff12335e13f91034,,,"[11, 11, 3, 0, 0, 0, 3, 4, 5, 8]","[10, 7, 3, 0, 0, 0, 3, 4, 5, 8]",2026-09-13T14:09:26.616Z
node-1.jsonl,SEND_STATE,,,11,,,,,,,,N01-M0006,23,"[10, 12, 3, 0, 0, 0, 3, 4, 5, 8]",,1,,,,,2,,,,,,df7788439026e9795666d726cf996c5e93f80720f288db19ff12335e13f91034,,,,2026-09-13T14:09:26.617Z
